initCGM,state_C1,state_C2,state_Gp,state_Gc,state_Ge,state_Ie,state_I
40,1.3624999523162842,-0.1347689926624298,-1.4032039642333984,-1.1479551792144775,-1.0116021633148193,-0.3479064106941223,-0.4019511342048645
41,1.3624999523162842,-0.13449354469776154,-1.393446445465088,-1.139535903930664,-1.0048164129257202,-0.34902283549308777,-0.40330228209495544
42,1.3624999523162842,-0.13422098755836487,-1.3836896419525146,-1.1311166286468506,-0.9980309009552002,-0.35013914108276367,-0.40465492010116577
43,1.3624999523162842,-0.13472872972488403,-1.3739327192306519,-1.1226974725723267,-0.9912450909614563,-0.3512580692768097,-0.4060074985027313
44,1.3624999523162842,-0.13445627689361572,-1.364176630973816,-1.1142781972885132,-0.984459638595581,-0.35237371921539307,-0.40736064314842224
45,1.3624999523162842,-0.1341797262430191,-1.3544198274612427,-1.1058589220046997,-0.977672815322876,-0.3534914553165436,-0.4087124466896057
46,1.3624999523162842,-0.13469040393829346,-1.3446637392044067,-1.0974396467208862,-0.9708861708641052,-0.35460808873176575,-0.41006574034690857
47,1.3624999523162842,-0.13442198932170868,-1.3349069356918335,-1.0890203714370728,-0.9641023278236389,-0.35572659969329834,-0.4114176034927368
48,1.3624999523162842,-0.13414497673511505,-1.325148344039917,-1.0806010961532593,-0.9573158621788025,-0.35684293508529663,-0.4127713739871979
49,1.3624999523162842,-0.1346571445465088,-1.3153902292251587,-1.0721818208694458,-0.9505300521850586,-0.35796067118644714,-0.41412490606307983
50,1.3624999523162842,-0.1343831568956375,-1.305633306503296,-1.0637625455856323,-0.9437428116798401,-0.35907843708992004,-0.4154767394065857
51,1.3624999523162842,-0.1341022402048111,-1.2958753108978271,-1.0553432703018188,-0.9369625449180603,-0.36023443937301636,-0.41663622856140137
52,1.3624999523162842,-0.13461530208587646,-1.286118507385254,-1.046924114227295,-0.9301837086677551,-0.36140578985214233,-0.41772040724754333
53,1.3624999523162842,-0.13433824479579926,-1.276361346244812,-1.0385048389434814,-0.9234004616737366,-0.36252880096435547,-0.41898566484451294
54,1.3624999523162842,-0.134062260389328,-1.2666051387786865,-1.030085563659668,-0.9166163206100464,-0.36364418268203735,-0.42028194665908813
55,1.3624999523162842,-0.13457563519477844,-1.2568477392196655,-1.0216662883758545,-0.909834623336792,-0.36475762724876404,-0.42158812284469604
56,1.3624999523162842,-0.1342947632074356,-1.2470916509628296,-1.013247013092041,-0.9030501842498779,-0.36586979031562805,-0.42290276288986206
57,1.3624999523162842,-0.13480815291404724,-1.237334966659546,-1.0048277378082275,-0.8962675929069519,-0.3669807016849518,-0.42422130703926086
58,1.3624999523162842,-0.13453121483325958,-1.2275784015655518,-0.9964084625244141,-0.8894842863082886,-0.3680908977985382,-0.4255449175834656
59,1.3624999523162842,-0.13425186276435852,-1.2178231477737427,-0.9879892468452454,-0.8827083706855774,-0.3692612051963806,-0.4265572726726532
60,1.3624999523162842,-0.13475605845451355,-1.2080647945404053,-0.9795699715614319,-0.8759276866912842,-0.37039411067962646,-0.4277392327785492
61,1.3624999523162842,-0.13448354601860046,-1.1983064413070679,-0.9711506962776184,-0.8691465258598328,-0.37150144577026367,-0.42900827527046204
62,1.3624999523162842,-0.13420478999614716,-1.1885490417480469,-0.9627314209938049,-0.8623653054237366,-0.37260690331459045,-0.4302918016910553
63,1.3624999523162842,-0.13471536338329315,-1.1787914037704468,-0.9543121457099915,-0.8555852174758911,-0.3737111985683441,-0.43158674240112305
